station_name,station_name_jp,latitude,longitude
Tokyo_Chuo_Rapid,東京 (中央線快速),35.681111,139.766567
Kanda_Chuo_Rapid,神田 (中央線快速),35.691667,139.770733
Ochanomizu_Chuo_Rapid,御茶ノ水 (中央線快速),35.699861,139.763889
Yotsuya_Chuo_Rapid,四ツ谷 (中央線快速),35.686,139.730667
Shinjuku_Chuo_Rapid,新宿 (中央線快速),35.690833,139.700178
Nakano_Chuo_Rapid,中野 (中央線快速),35.705833,139.665556
Kōenji_Chuo_Rapid,高円寺 (中央線快速),35.705389,139.649861
Asagaya_Chuo_Rapid,阿佐ケ谷 (中央線快速),35.704778,139.635278
Ogikubo_Chuo_Rapid,荻窪 (中央線快速),35.704639,139.62
Nishi-Ogikubo_Chuo_Rapid,西荻窪 (中央線快速),35.703833,139.599361
Kichijōji_Chuo_Rapid,吉祥寺 (中央線快速),35.703056,139.58
Mitaka_Chuo_Rapid,三鷹 (中央線快速),35.702694,139.560833
