station_name,station_name_jp,latitude,longitude
Tokyo_Yamanote,東京 (山手線),35.681111,139.766667
Kanda_Yamanote,神田 (山手線),35.691667,139.770833
Akihabara_Yamanote,秋葉原 (山手線),35.698333,139.773056
Okachimachi_Yamanote,御徒町 (山手線),35.707417,139.774639
Ueno_Yamanote,上野 (山手線),35.713889,139.777222
Uguisudani_Yamanote,鶯谷 (山手線),35.7213,139.7783
Nippori_Yamanote,日暮里 (山手線),35.727778,139.770972
Nishi-Nippori_Yamanote,西日暮里 (山手線),35.732361,139.766806
Tabata_Yamanote,田端 (山手線),35.738056,139.760833
Komagome_Yamanote,駒込 (山手線),35.736472,139.746861
Sugamo_Yamanote,巣鴨 (山手線),35.733472,139.739333
Ōtsuka_Yamanote,大塚 (山手線),35.731833,139.728056
Ikebukuro_Yamanote,池袋 (山手線),35.729722,139.710861
Mejiro_Yamanote,目白 (山手線),35.721194,139.706583
Takadanobaba_Yamanote,高田馬場 (山手線),35.712222,139.70375
Shin-Ōkubo_Yamanote,新大久保 (山手線),35.701306,139.700056
Shinjuku_Yamanote,新宿 (山手線),35.690833,139.700278
Yoyogi_Yamanote,代々木 (山手線),35.683056,139.702083
Harajuku_Yamanote,原宿 (山手線),35.670222,139.702667
Shibuya_Yamanote,渋谷 (山手線),35.658611,139.701111
Ebisu_Yamanote,恵比寿 (山手線),35.646667,139.710139
Meguro_Yamanote,目黒 (山手線),35.634028,139.715833
Gotanda_Yamanote,五反田 (山手線),35.626389,139.723472
Ōsaki_Yamanote,大崎 (山手線),35.619722,139.728556
Shinagawa_Yamanote,品川 (山手線),35.628222,139.738694
Takanawa_Gētowei_Yamanote,高輪ゲートウェイ (山手線),35.6355,139.7407
Tamachi_Yamanote,田町 (山手線),35.645722,139.747583
Hamamatsucho_Yamanote,浜松町 (山手線）,35.655,139.756944
Shimbashi_Yamanote,新橋 (山手線）,35.666389,139.758056
Yurakucho_Yamanote,有楽町 (山手線）,35.675056,139.763333
